Frame Number,Timecode,content_val,delta_edges,delta_hue,delta_lum,delta_sat
2,00:00:00.033,0.014214409722222222,0.103759765625,0.009629991319444444,0.031684027777777776,0.0013292100694444445
3,00:00:00.067,0.014223451967592593,0.145263671875,0.009385850694444444,0.021620008680555556,0.011664496527777778
4,00:00:00.100,0.02411566840277778,0.3181966145833333,0.019911024305555556,0.039849175347222224,0.012586805555555556
5,00:00:00.133,0.021855107060185185,0.23518880208333334,0.014485677083333334,0.049614800347222224,0.00146484375
6,00:00:00.167,0.013771339699074075,0.055338541666666664,0.0,0.041314019097222224,0.0
7,00:00:00.200,0.009521484375,0.24210611979166666,0.0,0.028564453125,0.0
8,00:00:00.234,0.010706018518518517,0.5810546875,0.0,0.03211805555555555,0.0
9,00:00:00.267,0.00902416087962963,0.6778971354166666,0.0,0.027072482638888888,0.0
10,00:00:00.300,0.005931712962962962,0.19368489583333334,0.0,0.017795138888888888,0.0
11,00:00:00.334,0.006844979745370371,0.29052734375,0.0,0.020534939236111112,0.0
12,00:00:00.367,0.00018084490740740742,0.0,0.0,0.0005425347222222222,0.0
13,00:00:00.400,0.00018084490740740742,0.0,0.0,0.0005425347222222222,0.0
14,00:00:00.434,0.00018084490740740742,0.0,0.0,0.0005425347222222222,0.0
15,00:00:00.467,0.00018084490740740742,0.0,0.0,0.0005425347222222222,0.0
16,00:00:00.501,0.0023057725694444445,0.0,0.0,0.006917317708333333,0.0
17,00:00:00.534,0.002296730324074074,0.0,0.0,0.006890190972222222,0.0
18,00:00:00.567,0.008101851851851851,0.013834635416666666,0.0,0.024305555555555556,0.0
19,00:00:00.601,0.006293402777777777,0.0830078125,0.0,0.018880208333333332,0.0
20,00:00:00.634,0.00018084490740740742,0.0,0.0,0.0005425347222222222,0.0
21,00:00:00.667,0.00018084490740740742,0.0,0.0,0.0005425347222222222,0.0
22,00:00:00.701,0.00018084490740740742,0.0,0.0,0.0005425347222222222,0.0
23,00:00:00.734,9.042245370370371e-05,0.0,0.0,0.0002712673611111111,0.0
24,00:00:00.767,9.042245370370371e-05,0.0,0.0,0.0002712673611111111,0.0
